0	1	2
0	1	11
1	2	3
1	11	10
1	11	21
2	3	4
2	3	13
3	4	5
3	13	12
3	13	23
4	5	6
4	5	15
5	6	7
5	15	14
5	15	25
6	7	8
6	7	17
7	8	9
7	17	16
7	17	27
8	9	19
9	19	18
9	19	29
10	0	1
11	10	0
11	21	31
11	21	22
12	11	10
12	11	21
12	2	3
13	12	11
13	12	2
13	23	33
13	23	24
14	13	12
14	13	23
14	4	5
15	14	13
15	14	4
15	25	35
15	25	26
16	15	14
16	15	25
16	6	7
17	16	15
17	16	6
17	27	37
17	27	28
18	17	16
18	17	27
18	8	9
19	18	17
19	18	8
19	29	39
20	10	0
20	21	22
20	21	31
21	22	23
21	31	30
21	22	12
21	31	41
22	12	11
22	12	2
22	23	24
22	23	33
23	24	25
23	33	32
23	24	14
23	33	43
24	14	13
24	14	4
24	25	26
24	25	35
25	26	27
25	35	34
25	26	16
25	35	45
26	16	15
26	16	6
26	27	28
26	27	37
27	28	29
27	37	36
27	28	18
27	37	47
28	18	17
28	18	8
28	29	39
29	39	38
29	39	49
30	20	10
30	20	21
31	30	20
31	41	51
31	41	42
32	31	30
32	31	41
32	22	12
32	22	23
33	32	31
33	32	22
33	43	53
33	43	44
34	33	32
34	33	43
34	24	14
34	24	25
35	34	33
35	34	24
35	45	55
35	45	46
36	35	34
36	35	45
36	26	16
36	26	27
37	36	35
37	36	26
37	47	57
37	47	48
38	37	36
38	37	47
38	28	18
38	28	29
39	38	37
39	38	28
39	49	59
40	30	20
40	41	42
40	41	51
41	42	43
41	51	50
41	42	32
41	51	61
42	32	31
42	32	22
42	43	44
42	43	53
43	44	45
43	53	52
43	44	34
43	53	63
44	34	33
44	34	24
44	45	46
44	45	55
45	46	47
45	55	54
45	46	36
45	55	65
46	36	35
46	36	26
46	47	48
46	47	57
47	48	49
47	57	56
47	48	38
47	57	67
48	38	37
48	38	28
48	49	59
49	59	58
49	59	69
50	40	30
50	40	41
51	50	40
51	61	71
51	61	62
52	51	50
52	51	61
52	42	32
52	42	43
53	52	51
53	52	42
53	63	73
53	63	64
54	53	52
54	53	63
54	44	34
54	44	45
55	54	53
55	54	44
55	65	75
55	65	66
56	55	54
56	55	65
56	46	36
56	46	47
57	56	55
57	56	46
57	67	77
57	67	68
58	57	56
58	57	67
58	48	38
58	48	49
59	58	57
59	58	48
59	69	79
60	50	40
60	61	62
60	61	71
61	62	63
61	71	70
61	62	52
61	71	81
62	52	51
62	52	42
62	63	64
62	63	73
63	64	65
63	73	72
63	64	54
63	73	83
64	54	53
64	54	44
64	65	66
64	65	75
65	66	67
65	75	74
65	66	56
65	75	85
66	56	55
66	56	46
66	67	68
66	67	77
67	68	69
67	77	76
67	68	58
67	77	87
68	58	57
68	58	48
68	69	79
69	79	78
69	79	89
70	60	50
70	60	61
71	70	60
71	81	91
71	81	82
72	71	70
72	71	81
72	62	52
72	62	63
73	72	71
73	72	62
73	83	93
73	83	84
74	73	72
74	73	83
74	64	54
74	64	65
75	74	73
75	74	64
75	85	95
75	85	86
76	75	74
76	75	85
76	66	56
76	66	67
77	76	75
77	76	66
77	87	97
77	87	88
78	77	76
78	77	87
78	68	58
78	68	69
79	78	77
79	78	68
79	89	99
80	70	60
80	81	82
80	81	91
81	82	83
81	91	90
81	82	72
82	72	71
82	72	62
82	83	84
82	83	93
83	84	85
83	93	92
83	84	74
84	74	73
84	74	64
84	85	86
84	85	95
85	86	87
85	95	94
85	86	76
86	76	75
86	76	66
86	87	88
86	87	97
87	88	89
87	97	96
87	88	78
88	78	77
88	78	68
88	89	99
89	99	98
90	80	70
90	80	81
91	90	80
92	91	90
92	82	72
92	82	83
93	92	91
93	92	82
94	93	92
94	84	74
94	84	85
95	94	93
95	94	84
96	95	94
96	86	76
96	86	87
97	96	95
97	96	86
98	97	96
98	88	78
98	88	89
99	98	97
99	98	88
