0	1	2
0	1	11
0	1	0
0	10	20
0	10	11
0	10	0
1	2	3
1	2	12
1	2	1
1	0	10
1	0	1
1	11	21
1	11	12
1	11	10
1	11	1
2	3	4
2	3	13
2	3	2
2	1	0
2	1	11
2	1	2
2	12	22
2	12	13
2	12	11
2	12	2
3	4	5
3	4	14
3	4	3
3	2	1
3	2	12
3	2	3
3	13	23
3	13	14
3	13	12
3	13	3
4	5	6
4	5	15
4	5	4
4	3	2
4	3	13
4	3	4
4	14	24
4	14	15
4	14	13
4	14	4
5	6	7
5	6	16
5	6	5
5	4	3
5	4	14
5	4	5
5	15	25
5	15	16
5	15	14
5	15	5
6	7	8
6	7	17
6	7	6
6	5	4
6	5	15
6	5	6
6	16	26
6	16	17
6	16	15
6	16	6
7	8	9
7	8	18
7	8	7
7	6	5
7	6	16
7	6	7
7	17	27
7	17	18
7	17	16
7	17	7
8	9	19
8	9	8
8	7	6
8	7	17
8	7	8
8	18	28
8	18	19
8	18	17
8	18	8
9	8	7
9	8	18
9	8	9
9	19	29
9	19	18
9	19	9
10	11	12
10	11	1
10	11	21
10	11	10
10	0	1
10	0	10
10	20	30
10	20	21
10	20	10
11	12	13
11	12	2
11	12	22
11	12	11
11	10	0
11	10	20
11	10	11
11	1	0
11	1	2
11	1	11
11	21	31
11	21	22
11	21	20
11	21	11
12	13	14
12	13	3
12	13	23
12	13	12
12	11	10
12	11	1
12	11	21
12	11	12
12	2	1
12	2	3
12	2	12
12	22	32
12	22	23
12	22	21
12	22	12
13	14	15
13	14	4
13	14	24
13	14	13
13	12	11
13	12	2
13	12	22
13	12	13
13	3	2
13	3	4
13	3	13
13	23	33
13	23	24
13	23	22
13	23	13
14	15	16
14	15	5
14	15	25
14	15	14
14	13	12
14	13	3
14	13	23
14	13	14
14	4	3
14	4	5
14	4	14
14	24	34
14	24	25
14	24	23
14	24	14
15	16	17
15	16	6
15	16	26
15	16	15
15	14	13
15	14	4
15	14	24
15	14	15
15	5	4
15	5	6
15	5	15
15	25	35
15	25	26
15	25	24
15	25	15
16	17	18
16	17	7
16	17	27
16	17	16
16	15	14
16	15	5
16	15	25
16	15	16
16	6	5
16	6	7
16	6	16
16	26	36
16	26	27
16	26	25
16	26	16
17	18	19
17	18	8
17	18	28
17	18	17
17	16	15
17	16	6
17	16	26
17	16	17
17	7	6
17	7	8
17	7	17
17	27	37
17	27	28
17	27	26
17	27	17
18	19	9
18	19	29
18	19	18
18	17	16
18	17	7
18	17	27
18	17	18
18	8	7
18	8	9
18	8	18
18	28	38
18	28	29
18	28	27
18	28	18
19	18	17
19	18	8
19	18	28
19	18	19
19	9	8
19	9	19
19	29	39
19	29	28
19	29	19
20	21	22
20	21	11
20	21	31
20	21	20
20	10	0
20	10	11
20	10	20
20	30	40
20	30	31
20	30	20
21	22	23
21	22	12
21	22	32
21	22	21
21	20	10
21	20	30
21	20	21
21	11	1
21	11	10
21	11	12
21	11	21
21	31	41
21	31	32
21	31	30
21	31	21
22	23	24
22	23	13
22	23	33
22	23	22
22	21	20
22	21	11
22	21	31
22	21	22
22	12	2
22	12	11
22	12	13
22	12	22
22	32	42
22	32	33
22	32	31
22	32	22
23	24	25
23	24	14
23	24	34
23	24	23
23	22	21
23	22	12
23	22	32
23	22	23
23	13	3
23	13	12
23	13	14
23	13	23
23	33	43
23	33	34
23	33	32
23	33	23
24	25	26
24	25	15
24	25	35
24	25	24
24	23	22
24	23	13
24	23	33
24	23	24
24	14	4
24	14	13
24	14	15
24	14	24
24	34	44
24	34	35
24	34	33
24	34	24
25	26	27
25	26	16
25	26	36
25	26	25
25	24	23
25	24	14
25	24	34
25	24	25
25	15	5
25	15	14
25	15	16
25	15	25
25	35	45
25	35	36
25	35	34
25	35	25
26	27	28
26	27	17
26	27	37
26	27	26
26	25	24
26	25	15
26	25	35
26	25	26
26	16	6
26	16	15
26	16	17
26	16	26
26	36	46
26	36	37
26	36	35
26	36	26
27	28	29
27	28	18
27	28	38
27	28	27
27	26	25
27	26	16
27	26	36
27	26	27
27	17	7
27	17	16
