0	1	2
0	1	11
0	10	20
0	10	11
1	2	3
1	2	12
1	0	10
1	11	21
1	11	12
1	11	10
2	3	4
2	3	13
2	1	0
2	1	11
2	12	22
2	12	13
2	12	11
3	4	5
3	4	14
3	2	1
3	2	12
3	13	23
3	13	14
3	13	12
4	5	6
4	5	15
4	3	2
4	3	13
4	14	24
4	14	15
4	14	13
5	6	7
5	6	16
5	4	3
5	4	14
5	15	25
5	15	16
5	15	14
6	7	8
6	7	17
6	5	4
6	5	15
6	16	26
6	16	17
6	16	15
7	8	9
7	8	18
7	6	5
7	6	16
7	17	27
7	17	18
7	17	16
8	9	19
8	7	6
8	7	17
8	18	28
8	18	19
8	18	17
9	8	7
9	8	18
9	19	29
9	19	18
10	11	12
10	11	1
10	11	21
10	0	1
10	20	30
10	20	21
11	12	13
11	12	2
11	12	22
11	10	0
11	10	20
11	1	0
11	1	2
11	21	31
11	21	22
11	21	20
12	13	14
12	13	3
12	13	23
12	11	10
12	11	1
12	11	21
12	2	1
12	2	3
12	22	32
12	22	23
12	22	21
13	14	15
13	14	4
13	14	24
13	12	11
13	12	2
13	12	22
13	3	2
13	3	4
13	23	33
13	23	24
13	23	22
14	15	16
14	15	5
14	15	25
14	13	12
14	13	3
14	13	23
14	4	3
14	4	5
14	24	34
14	24	25
14	24	23
15	16	17
15	16	6
15	16	26
15	14	13
15	14	4
15	14	24
15	5	4
15	5	6
15	25	35
15	25	26
15	25	24
16	17	18
16	17	7
16	17	27
16	15	14
16	15	5
16	15	25
16	6	5
16	6	7
16	26	36
16	26	27
16	26	25
17	18	19
17	18	8
17	18	28
17	16	15
17	16	6
17	16	26
17	7	6
17	7	8
17	27	37
17	27	28
17	27	26
18	19	9
18	19	29
18	17	16
18	17	7
18	17	27
18	8	7
18	8	9
18	28	38
18	28	29
18	28	27
19	18	17
19	18	8
19	18	28
19	9	8
19	29	39
19	29	28
20	21	22
20	21	11
20	21	31
20	10	0
20	10	11
20	30	40
20	30	31
21	22	23
21	22	12
21	22	32
21	20	10
21	20	30
21	11	1
21	11	10
21	11	12
21	31	41
21	31	32
21	31	30
22	23	24
22	23	13
22	23	33
22	21	20
22	21	11
22	21	31
22	12	2
22	12	11
22	12	13
22	32	42
22	32	33
22	32	31
23	24	25
23	24	14
23	24	34
23	22	21
23	22	12
23	22	32
23	13	3
23	13	12
23	13	14
23	33	43
23	33	34
23	33	32
24	25	26
24	25	15
24	25	35
24	23	22
24	23	13
24	23	33
24	14	4
24	14	13
24	14	15
24	34	44
24	34	35
24	34	33
25	26	27
25	26	16
25	26	36
25	24	23
25	24	14
25	24	34
25	15	5
25	15	14
25	15	16
25	35	45
25	35	36
25	35	34
26	27	28
26	27	17
26	27	37
26	25	24
26	25	15
26	25	35
26	16	6
26	16	15
26	16	17
26	36	46
26	36	37
26	36	35
27	28	29
27	28	18
27	28	38
27	26	25
27	26	16
27	26	36
27	17	7
27	17	16
27	17	18
27	37	47
27	37	38
27	37	36
28	29	19
28	29	39
28	27	26
28	27	17
28	27	37
28	18	8
28	18	17
28	18	19
28	38	48
28	38	39
28	38	37
29	28	27
29	28	18
29	28	38
29	19	9
29	19	18
29	39	49
29	39	38
30	31	32
30	31	21
30	31	41
30	20	10
30	20	21
30	40	50
30	40	41
31	32	33
31	32	22
31	32	42
31	30	20
31	30	40
31	21	11
31	21	20
31	21	22
31	41	51
31	41	42
31	41	40
32	33	34
32	33	23
32	33	43
32	31	30
32	31	21
32	31	41
32	22	12
32	22	21
32	22	23
32	42	52
32	42	43
32	42	41
33	34	35
33	34	24
33	34	44
33	32	31
33	32	22
33	32	42
33	23	13
33	23	22
33	23	24
33	43	53
33	43	44
33	43	42
34	35	36
34	35	25
34	35	45
34	33	32
34	33	23
34	33	43
34	24	14
34	24	23
34	24	25
34	44	54
34	44	45
34	44	43
35	36	37
35	36	26
35	36	46
35	34	33
35	34	24
35	34	44
35	25	15
35	25	24
35	25	26
35	45	55
35	45	46
35	45	44
36	37	38
36	37	27
36	37	47
36	35	34
36	35	25
36	35	45
36	26	16
36	26	25
36	26	27
36	46	56
36	46	47
36	46	45
37	38	39
37	38	28
37	38	48
37	36	35
37	36	26
37	36	46
37	27	17
37	27	26
37	27	28
37	47	57
37	47	48
37	47	46
38	39	29
38	39	49
38	37	36
38	37	27
38	37	47
38	28	18
38	28	27
38	28	29
38	48	58
38	48	49
38	48	47
39	38	37
39	38	28
39	38	48
39	29	19
39	29	28
39	49	59
39	49	48
40	41	42
40	41	31
40	41	51
40	30	20
40	30	31
40	50	60
40	50	51
41	42	43
41	42	32
41	42	52
41	40	30
41	40	50
41	31	21
41	31	30
41	31	32
41	51	61
41	51	52
41	51	50
42	43	44
42	43	33
42	43	53
42	41	40
42	41	31
42	41	51
42	32	22
42	32	31
42	32	33
42	52	62
42	52	53
42	52	51
43	44	45
43	44	34
43	44	54
43	42	41
43	42	32
43	42	52
43	33	23
43	33	32
43	33	34
43	53	63
43	53	54
43	53	52
44	45	46
44	45	35
44	45	55
44	43	42
44	43	33
44	43	53
44	34	24
44	34	33
44	34	35
44	54	64
44	54	55
44	54	53
45	46	47
45	46	36
45	46	56
45	44	43
45	44	34
45	44	54
45	35	25
45	35	34
45	35	36
45	55	65
45	55	56
45	55	54
46	47	48
46	47	37
46	47	57
46	45	44
46	45	35
46	45	55
46	36	26
46	36	35
46	36	37
46	56	66
46	56	57
46	56	55
47	48	49
47	48	38
47	48	58
47	46	45
47	46	36
47	46	56
47	37	27
47	37	36
47	37	38
47	57	67
47	57	58
47	57	56
48	49	39
48	49	59
48	47	46
48	47	37
48	47	57
48	38	28
48	38	37
48	38	39
48	58	68
48	58	59
48	58	57
49	48	47
49	48	38
49	48	58
49	39	29
49	39	38
49	59	69
49	59	58
50	51	52
50	51	41
50	51	61
50	40	30
50	40	41
50	60	70
50	60	61
51	52	53
51	52	42
51	52	62
51	50	40
51	50	60
51	41	31
51	41	40
51	41	42
51	61	71
51	61	62
51	61	60
52	53	54
52	53	43
52	53	63
52	51	50
52	51	41
52	51	61
52	42	32
52	42	41
52	42	43
52	62	72
52	62	63
52	62	61
53	54	55
53	54	44
53	54	64
53	52	51
53	52	42
53	52	62
53	43	33
53	43	42
53	43	44
53	63	73
53	63	64
53	63	62
54	55	56
54	55	45
54	55	65
54	53	52
54	53	43
54	53	63
54	44	34
54	44	43
54	44	45
54	64	74
54	64	65
54	64	63
55	56	57
55	56	46
